"","system.index","HH","OBJECTID","ORIG_FID","flowid","newID","pid",".geo","cumHH"
"1333","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005edf590e4348ca01",1,39602,199,200,0,0,"{""type"":""Point"",""coordinates"":[-20.401101102432857,79.87775842042221]}",66
"1332","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000fe462b732603a0cc",1,39603,199,200,0,1,"{""type"":""Point"",""coordinates"":[-20.398995584682964,79.87765750791628]}",54
"1331","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000eb58a39a4136e2c4",1,39604,199,200,0,2,"{""type"":""Point"",""coordinates"":[-20.396801739576947,79.8775144763332]}",54
"1330","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003b09df1fef5f4f5c",1,39605,199,200,0,3,"{""type"":""Point"",""coordinates"":[-20.394607956297524,79.87737142985101]}",38
"1329","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00008570ff1284cc032d",1,39606,199,200,0,4,"{""type"":""Point"",""coordinates"":[-20.39241423484853,79.87722836847027]}",32
"1328","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007d07987a4ee04137",1,39607,199,200,0,5,"{""type"":""Point"",""coordinates"":[-20.390220575233776,79.8770852921917]}",28
"2030","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000a4a223bc9ab0bff2",1,39608,199,200,0,6,"{""type"":""Point"",""coordinates"":[-20.388026977457077,79.87694220101584]}",28
"2031","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000049cb9810d0291a23",1,39609,199,200,0,7,"{""type"":""Point"",""coordinates"":[-20.386071098614313,79.87678344673445]}",16
"2028","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000016a1454087c1ea09",1,39610,199,200,0,8,"{""type"":""Point"",""coordinates"":[-20.383877624555574,79.87664032737614]}",26
"2032","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000059df034a3b4b9697",1,39611,199,200,0,9,"{""type"":""Point"",""coordinates"":[-20.38168421234555,79.87649719312238]}",4
"2025","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005770068bb304db60",1,39214,197,198,0,10,"{""type"":""Point"",""coordinates"":[-20.383733583429354,79.87463705011511]}",32
"11542","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000790e5132330cf6b7",-1,12,0,1,0,11,"{""type"":""Point"",""coordinates"":[-20.52016152137683,79.69422217216423]}",-1
"11543","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00008c9fe1c332801bdb",-1,13,0,1,0,12,"{""type"":""Point"",""coordinates"":[-20.51785897978912,79.69413776728713]}",-1
"2034","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00001956ce7f4b6156e5",1,39615,199,200,0,13,"{""type"":""Point"",""coordinates"":[-20.37299943836287,79.87596661910703]}",0
"11544","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000aae868d04c1e8745",-1,15,0,1,0,14,"{""type"":""Point"",""coordinates"":[-20.513108022585577,79.69402673151733]}",-1
"11546","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000733a82cfa79dd55f",-1,16,0,1,0,15,"{""type"":""Point"",""coordinates"":[-20.510805582157243,79.69394227549247]}",-1
"11549","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000acc51671a9bd9138",-1,17,0,1,0,16,"{""type"":""Point"",""coordinates"":[-20.508503179358474,79.6938578027705]}",-1
"2232","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009c2998a5faa569ef",1,39619,199,200,0,17,"{""type"":""Point"",""coordinates"":[-20.364465014084093,79.87537806494046]}",2
"11496","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000bf2a2b22e7cf7b78",-1,19,0,1,0,18,"{""type"":""Point"",""coordinates"":[-20.503665218565327,79.6937045444334]}",-1
"11491","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000036724e3c6670fe4c",-1,20,0,1,0,19,"{""type"":""Point"",""coordinates"":[-20.50145014987933,79.693662103163]}",-1
"11492","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000228add2659fad36f",-1,21,0,1,0,20,"{""type"":""Point"",""coordinates"":[-20.499147885980616,79.69357756260209]}",-1
"11493","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000755c3a7dd889f32d",1,22,0,1,0,21,"{""type"":""Point"",""coordinates"":[-20.496845659744896,79.693493005346]}",1
"11490","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000d74a0ce682c126fe",-1,23,0,1,0,22,"{""type"":""Point"",""coordinates"":[-20.49431019515609,79.69342416172415]}",-1
"11488","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000efef01558adec7fe",1,24,0,1,0,23,"{""type"":""Point"",""coordinates"":[-20.492008042671745,79.69333956938914]}",1
"11487","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003d2cc6236b360421",-1,25,0,1,0,24,"{""type"":""Point"",""coordinates"":[-20.48970592787076,79.69325496036018]}",-1
"11972","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000069fa961e81eb07d8",-1,26,0,1,0,25,"{""type"":""Point"",""coordinates"":[-20.487491012915402,79.6932124217165]}",-1
"11973","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000a4739ed8d01b4004",-1,27,0,1,0,26,"{""type"":""Point"",""coordinates"":[-20.48495567949295,79.69314350339708]}",-1
