"","system.index","HH","OBJECTID","ORIG_FID","Shape_Leng","flowid","newID","pid",".geo","HHbinary","cumHH"
"30238","0_000019ca7604467f6374",-17.3601188659668,1593,9,27095.3433779,9,0,0,"{""type"":""Point"",""coordinates"":[-19.810812844406872,79.68155917365307]}",1,3
"30265","0_000087fad2da2d63dba9",-12.8658323287964,39603,200,37923.3479584,200,0,1,"{""type"":""Point"",""coordinates"":[-19.101329789160197,79.72820213434434]}",1,10
"30245","0_0000fecd687dd7e0cd7b",-16.942928314209,202,2,26941.9608091,2,0,2,"{""type"":""Point"",""coordinates"":[-19.844402432713526,79.67918036114163]}",1,0
"30220","0_0000721d344496c6fad3",-18.3249473571777,1596,9,27095.3433779,9,0,3,"{""type"":""Point"",""coordinates"":[-19.81766888212352,79.67810425116323]}",1,3
"30252","0_00007823cd6bf23a8680",-17.0064907073975,801,5,27007.6692325,5,0,4,"{""type"":""Point"",""coordinates"":[-19.836466497160842,79.67692737425637]}",1,1
"30261","0_00009414f2a5534a0a15",-18.4617443084717,6,1,26920.0670476,1,0,5,"{""type"":""Point"",""coordinates"":[-19.85549367132626,79.67573412183528]}",1,1
"8526","0_00007b3b4615c31c6047",-19.5442047119141,7,1,26920.0670476,1,0,6,"{""type"":""Point"",""coordinates"":[-19.857695335600585,79.67458725860018]}",-1,-1
"8525","0_0000fc974cdd546ec298",-16.5415515899658,207,2,26941.9608091,2,0,7,"{""type"":""Point"",""coordinates"":[-19.855733887525474,79.67347328102501]}",1,0
"8522","0_00001d7117ddc53300e1",-19.6577072143555,9,1,26920.0670476,1,0,8,"{""type"":""Point"",""coordinates"":[-19.86218164200402,79.6723357398545]}",-1,-1
"8520","0_00009d7f3c03bc6f0cb6",-21.3828125,10,1,26920.0670476,1,0,9,"{""type"":""Point"",""coordinates"":[-19.86438184355317,79.67118882687012]}",-1,-1
"8519","0_000025d18c326ac2db4c",-19.8434677124023,11,1,26920.0670476,1,0,10,"{""type"":""Point"",""coordinates"":[-19.86658155796049,79.67004189749409]}",-1,-1
"8518","0_0000a50c603e0a14efe2",-19.015552520752,12,1,26920.0670476,1,0,11,"{""type"":""Point"",""coordinates"":[-19.869014444941616,79.66887968147896]}",-1,-1
"8474","0_000069819ffab753f66c",-20.9556541442871,13,1,26920.0670476,1,0,12,"{""type"":""Point"",""coordinates"":[-19.871297596954278,79.66777497237142]}",-1,-1
"8473","0_0000931022a7cf8614dd",-20.6822853088379,14,1,26920.0670476,1,0,13,"{""type"":""Point"",""coordinates"":[-19.87349582138892,79.6666279916693]}",-1,-1
"8472","0_0000c4171b3d1e4e0920",-22.36328125,15,1,26920.0670476,1,0,14,"{""type"":""Point"",""coordinates"":[-19.875693559306836,79.6654809945957]}",-1,-1
"8462","0_0000ebd360523954afb6",-21.0684146881104,16,1,26920.0670476,1,0,15,"{""type"":""Point"",""coordinates"":[-19.877890810863033,79.6643339811554]}",-1,-1
"8461","0_00003240e1342dc5c2e5",-19.1199855804443,17,1,26920.0670476,1,0,16,"{""type"":""Point"",""coordinates"":[-19.88017201588236,79.66322920382424]}",-1,-1
"8457","0_0000a1ebe591caa60a16",-21.0223274230957,18,1,26920.0670476,1,0,17,"{""type"":""Point"",""coordinates"":[-19.882368294788563,79.6620821571209]}",-1,-1
"8355","0_0000e32be45b1c40e61b",-23.513313293457,19,1,26920.0670476,1,0,18,"{""type"":""Point"",""coordinates"":[-19.884797544740735,79.66091981207022]}",-1,-1
"8456","0_000060a179efaa43b01f",-22.0950508117676,20,1,26920.0670476,1,0,19,"{""type"":""Point"",""coordinates"":[-19.886992822945974,79.65977273103415]}",-1,-1
"8455","0_000008cae704615d5768",-19.785701751709,21,1,26920.0670476,1,0,20,"{""type"":""Point"",""coordinates"":[-19.889187615568055,79.65862563365631]}",-1,-1
"8446","0_00009310f78b49d1e320",-19.547758102417,22,1,26920.0670476,1,0,21,"{""type"":""Point"",""coordinates"":[-19.891466361966817,79.65752076960533]}",-1,-1
"8445","0_0000e4e906c81339ca41",-19.6951560974121,23,1,26920.0670476,1,0,22,"{""type"":""Point"",""coordinates"":[-19.893660183484016,79.65637363901448]}",-1,-1
"8443","0_0000660470bb986f4654",-20.2623882293701,24,1,26920.0670476,1,0,23,"{""type"":""Point"",""coordinates"":[-19.89585351987969,79.65522649209663]}",-1,-1
"8418","0_000038d0c29e41408c8a",-19.76589012146,25,1,26920.0670476,1,0,24,"{""type"":""Point"",""coordinates"":[-19.898046371308315,79.6540793288565]}",-1,-1
"8442","0_0000cfe0ba8807159725",-21.5333423614502,26,1,26920.0670476,1,0,25,"{""type"":""Point"",""coordinates"":[-19.90055643083537,79.65295910304319]}",-1,-1
"8440","0_00003d50e15414679ad2",-20.8296451568604,27,1,26920.0670476,1,0,26,"{""type"":""Point"",""coordinates"":[-19.902748283369263,79.65181190499841]}",-1,-1
"8435","0_0000dbf5cd7af1b2ebce",-20.9776382446289,28,1,26920.0670476,1,0,27,"{""type"":""Point"",""coordinates"":[-19.904939651403463,79.65066469064644]}",-1,-1
"8438","0_000006b3c07988e7ce76",-20.533540725708,29,1,26920.0670476,1,0,28,"{""type"":""Point"",""coordinates"":[-19.907130535092172,79.64951745999218]}",-1,-1
"8439","0_0000afe77c8b276a3c5c",-23.6137924194336,30,1,26920.0670476,1,0,29,"{""type"":""Point"",""coordinates"":[-19.90932093458956,79.64837021304051]}",-1,-1
"7767","0_0000674fca5a4776fc6e",-22.7290840148926,31,1,26920.0670476,1,0,30,"{""type"":""Point"",""coordinates"":[-19.91159528775417,79.64726519445607]}",-1,-1
"7773","0_0000966f88c9b475e2ea",-22.3588714599609,32,1,26920.0670476,1,0,31,"{""type"":""Point"",""coordinates"":[-19.914017799707246,79.6461026106461]}",-1,-1
"7766","0_0000389b7211e07b84db",-21.3210601806641,33,1,26920.0670476,1,0,32,"{""type"":""Point"",""coordinates"":[-19.916206718156598,79.64495531265905]}",-1,-1
"7758","0_0000b49a29db1232ae15",-20.0513877868652,34,1,26920.0670476,1,0,33,"{""type"":""Point"",""coordinates"":[-19.918395153034925,79.64380799839444]}",-1,-1
"7759","0_0000ce9583a292940055",-21.883228302002,35,1,26920.0670476,1,0,34,"{""type"":""Point"",""coordinates"":[-19.920667542009493,79.6427029102579]}",-1,-1
"7757","0_00006a96d141dd51a8c9",-18.4449768066406,36,1,26920.0670476,1,0,35,"{""type"":""Point"",""coordinates"":[-19.922855009776434,79.64155556290956]}",1,1
"7736","0_0000027ca721c3108b5b",-19.0778846740723,37,1,26920.0670476,1,0,36,"{""type"":""Point"",""coordinates"":[-19.925041994431584,79.6404081992983]}",-1,-1
"7737","0_0000098989b1e98e5cf0",-20.7421646118164,38,1,26920.0670476,1,0,37,"{""type"":""Point"",""coordinates"":[-19.92722849612861,79.63926081942891]}",-1,-1
"7756","0_000006603efc54b9fd5c",-21.5769367218018,39,1,26920.0670476,1,0,38,"{""type"":""Point"",""coordinates"":[-19.92964739327053,79.6380981079439]}",-1,-1
"7752","0_0000eb7fb9d6a54c4080",-19.1494789123535,40,1,26920.0670476,1,0,39,"{""type"":""Point"",""coordinates"":[-19.93191733742896,79.63699293354662]}",-1,-1
"7753","0_00000062a687f091ef1e",-21.3280982971191,41,1,26920.0670476,1,0,40,"{""type"":""Point"",""coordinates"":[-19.934102361808268,79.63584550276336]}",-1,-1
"7755","0_0000834ba5bf8f1c61f0",-22.4958744049072,42,1,26920.0670476,1,0,41,"{""type"":""Point"",""coordinates"":[-19.93628690384776,79.63469805574178]}",-1,-1
"7600","0_00004ea37563006be30c",-20.7304267883301,43,1,26920.0670476,1,0,42,"{""type"":""Point"",""coordinates"":[-19.93847096370079,79.63355059248673]}",-1,-1
"7596","0_00003cd4e993270dafe6",-23.2146129608154,44,1,26920.0670476,1,0,43,"{""type"":""Point"",""coordinates"":[-19.94073897727344,79.63244535040818]}",-1,-1
"7595","0_0000a54852281e9278fb",-21.393238067627,45,1,26920.0670476,1,0,44,"{""type"":""Point"",""coordinates"":[-19.942922072763118,79.63129785415819]}",-1,-1
"7592","0_0000a8444e30dafc972e",-22.148946762085,46,1,26920.0670476,1,0,45,"{""type"":""Point"",""coordinates"":[-19.945337363357673,79.63013501465608]}",-1,-1
"7593","0_000045dad4d50f610229",-20.6793594360352,47,1,26920.0670476,1,0,46,"{""type"":""Point"",""coordinates"":[-19.947519466657806,79.62898748434948]}",-1,-1
"7594","0_0000fa4ba2243a2a241f",-19.5147476196289,48,1,26920.0670476,1,0,47,"{""type"":""Point"",""coordinates"":[-19.94970108854159,79.62783993783398]}",-1,-1
"7560","0_00004e5d9f4cf49c8b9f",-21.5265254974365,49,1,26920.0670476,1,0,48,"{""type"":""Point"",""coordinates"":[-19.951966664147974,79.62673460972199]}",-1,-1
