,month,means
1,6,2.16080402
2,7,86.75376884
3,8,199.9045226
4,9,198.6432161
5,10,183.3266332
6,11,178.6231156
7,12,178.3467337
8,1,173.4572864
9,2,173.7236181
10,3,169.5979899
11,4,168.6884422
12,5,175.4874372
13,6,164.5025126
14,7,197.2562814
15,8,192.7386935
16,9,134.6331658
17,10,187.9547739
18,11,157.4472362
19,12,150.321608
20,1,139.7336683
21,2,139.3266332
22,3,139.1809045
23,4,140.2160804
24,5,139.9346734
25,6,51.05527638
26,7,199.5175879
27,8,199.0201005
28,9,174.8140704
29,10,192.3668342
30,11,161.040201
31,12,159.1306533
32,1,158.5025126
33,2,160.4020101
34,3,166.1005025
35,4,162.0653266
36,5,195.9798995
37,6,64.88442211
38,7,110.0351759
39,8,199.9899497
40,9,198.1557789
41,10,193.4321608
42,11,192.2211055
43,12,186.0854271
44,1,185.5477387
45,2,184.5829146
46,3,188.798995
