system:index,sst,.geo
20150601_0,-122,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150602_0,-119,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150603_0,-111,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150604_0,-99,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150605_0,-91,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150606_0,-84,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150607_0,-75,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150608_0,-60,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150609_0,-42,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150610_0,-32,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150611_0,-28,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150612_0,-27,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150613_0,-27,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150614_0,-31,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150615_0,-42,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150616_0,-56,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150617_0,-74,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150618_0,-78,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150619_0,-78,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150620_0,-76,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150621_0,-65,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150622_0,-52,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150623_0,-40,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
