system:index,sst,.geo
20150601_0,-122,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150701_0,37,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150801_0,47,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20150901_0,73,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151001_0,-123,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151101_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151201_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160101_0,-163,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160201_0,-131,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160301_0,-162,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160401_0,-165,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160501_0,-161,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160601_0,-121,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160701_0,26,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160801_0,175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160901_0,15,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20161001_0,-130,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20161101_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20161201_0,-145,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170101_0,-176,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170201_0,-180,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170301_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170401_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170501_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170601_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170701_0,103,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170801_0,237,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20170901_0,34,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20171001_0,9,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20171101_0,-91,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20171201_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180101_0,-156,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180201_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180301_0,-109,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180401_0,-179,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180501_0,-178,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180601_0,-128,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180701_0,-38,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180801_0,41,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20180901_0,56,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20181001_0,-143,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20181101_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20181201_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20190101_0,-176,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20190201_0,-178,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20190301_0,-177,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
